a,b,code,pre,preposition,post
laptop,bed,O,bed is,outside,the laptop
keyboard,laptop,O,laptop is,outside,the keyboard
keyboard,laptop,O,laptop is,outside,the keyboard
keyboard,bed,O,bed is,outside,the keyboard
bed,laptop,I,laptop is,inside,the bed
bed,laptop,I,laptop is,inside,the bed
bed,keyboard,I,keyboard is,inside,the bed
bottle,chair,O,chair is,outside,the bottle
bottle,chair,O,chair is,outside,the bottle
chair,bottle,I,bottle is,inside,the chair
chair,bottle,I,bottle is,inside,the chair
potted plant,laptop,L,laptop is,left to,the potted plant
potted plant,vase,I,vase is,inside,the potted plant
potted plant,laptop,R,laptop is,right to,the potted plant
potted plant,vase,R,vase is,right to,the potted plant
laptop,potted plant,R,potted plant is,right to,the laptop
laptop,potted plant,L,potted plant is,left to,the laptop
laptop,vase,R,vase is,right to,the laptop
vase,potted plant,O,potted plant is,outside,the vase
vase,potted plant,L,potted plant is,left to,the vase
vase,laptop,L,laptop is,left to,the vase
laptop,potted plant,L,potted plant is,left to,the laptop
laptop,clock,R,clock is,right to,the laptop
potted plant,laptop,R,laptop is,right to,the potted plant
potted plant,clock,R,clock is,right to,the potted plant
clock,laptop,L,laptop is,left to,the clock
clock,potted plant,L,potted plant is,left to,the clock
clock,potted plant,L,potted plant is,beside,the clock
clock,bowl,L,bowl is,beside,the clock
clock,vase,L,vase is,beside,the clock
clock,book,L,book is,beside,the clock
clock,vase,R,vase is,next to,the clock
clock,dining table,OB,dining table is,on top of,the clock
clock,book,R,book is,next to,the clock
clock,potted plant,L,potted plant is,beside,the clock
clock,vase,R,vase is,next to,the clock
clock,potted plant,L,potted plant is,beside,the clock
clock,vase,L,vase is,beside,the clock
potted plant,clock,R,clock is,next to,the potted plant
potted plant,vase,I,vase is,inside,the potted plant
vase,clock,R,clock is,next to,the vase
vase,potted plant,O,potted plant is,outside,the vase
teddy bear,potted plant,L,potted plant is,beside,the teddy bear
teddy bear,chair,OT,chair is,on top of,the teddy bear
